amount,amount_deviation,new_payee,transaction_velocity,unusual_hour,location_change,new_device,suspicious
3508.94,0.3498,0,0,0,0,0,0
4876.83,0.0446,1,0,0,0,0,0
2489.2,-0.1302,0,0,0,0,0,0
5046.75,2.9741,0,0,0,0,1,0
3924.99,1.8874,0,0,0,0,0,0
8310.35,1.8672,0,4,0,0,0,0
1881.28,-0.0373,0,4,0,0,0,0
3449.18,0.0525,0,4,0,0,0,0
770.51,-0.0888,0,0,0,0,0,0
2777.78,-0.1433,0,0,0,0,0,0
1915.55,-0.023,0,2,1,0,0,0
5899.0,0.5693,1,0,0,0,0,0
1506.02,0.0596,0,0,1,0,0,0
1379.43,-0.1811,0,5,0,0,0,0
710.41,-0.1492,0,0,0,0,0,0
4464.35,0.0701,0,0,0,0,1,0
2747.98,0.0791,0,0,0,0,0,0
2405.8,2.8726,0,1,0,0,0,1
4064.39,-0.0008,0,0,0,0,0,0
2073.07,1.551,0,2,0,1,0,0
12924.3,2.1723,1,0,0,0,0,1
5336.51,0.1388,0,0,0,0,0,0
1334.51,-0.3159,0,2,0,0,0,0
3382.94,-0.0355,0,3,0,0,0,0
4924.76,0.018,0,2,0,0,0,0
4063.37,0.4765,1,1,1,0,1,1
1055.3,-0.1674,0,1,0,0,0,0
7196.44,3.0277,0,1,0,0,0,0
3828.46,0.6397,0,0,0,0,0,0
6243.11,0.3376,0,4,0,0,0,0
4337.41,-0.129,0,1,0,0,0,0
3822.03,1.7407,0,3,1,0,0,0
5186.21,0.1872,0,1,0,0,0,0
1326.0,0.3561,0,0,0,0,0,0
7393.38,1.6002,0,0,1,0,0,0
530.95,0.0614,0,0,0,0,1,0
788.08,-0.0872,1,2,0,0,0,0
1313.79,0.1067,0,1,0,0,0,0
2054.83,0.4484,0,0,0,0,0,0
15671.17,2.1981,0,0,0,0,0,0
1675.22,0.1068,0,3,0,0,0,0
1126.31,0.6191,0,0,0,0,1,0
1095.45,-0.0936,0,1,0,0,0,0
21660.3,3.5473,0,1,0,0,0,0
3842.54,-0.0381,0,0,0,0,0,0
1840.48,0.19,0,4,0,0,0,0
5242.06,0.3088,0,0,0,0,0,0
1978.22,0.1567,0,0,0,1,0,0
4111.31,0.0383,0,0,0,0,0,0
3689.66,0.3758,0,3,0,0,0,0
4514.61,0.0542,0,1,0,0,0,0
1194.64,0.1653,0,1,0,0,1,0
775.85,-0.324,0,0,0,0,1,0
2129.63,-0.2842,0,4,0,0,0,0
1735.19,-0.154,0,1,0,0,0,0
2425.55,-0.493,1,2,0,1,0,0
4842.54,0.0599,0,0,0,1,0,0
1123.43,0.6518,0,6,0,0,0,1
1530.09,1.8055,0,0,0,0,1,0
8904.64,1.2518,0,1,0,0,0,0
1613.93,-0.1384,0,1,1,0,0,0
3914.67,-0.0238,0,1,0,0,0,0
2247.84,0.1041,0,0,0,0,0,0
7390.09,0.9444,0,1,0,0,0,0
13637.61,3.8133,0,3,0,0,0,0
2357.86,-0.2548,0,0,0,0,0,0
7367.74,1.7932,0,1,0,0,0,0
6756.16,0.5284,0,3,1,1,0,1
